AFS,Gender,MS,Origin,POB,LocLang,IntLang,BornWar,Religion,SecondarySchool,NationalExamGrade,Degree,Specialisation,GradeIT,UniversityType,InstitutionNature,InstitutionLocation,SchoolWar,Fees,Funding,UniversityReliable,UnivPromoteEmploy,Internship,ExperienceYears,SpecialisationCompetence,ITCompetence,GraduateComSkill,PhysicalDisability,PsychoDisability,SleepingTime,Family,Father,Mother,PoliticianFam,AdminstrativeFam,CompanyFam,Relatives,MaritalRequirement,HomePandemic,HomeEpidemic,SchoolPandemic,SchoolEpidemic,Employed
between 27 and 29 years,Male,Single,Muswahili,Capital City(Kinshasa),Two,Two,No,Evangelical,Math-Physics,Satisfaction (50%-69%),Master,Information Systems Management,Satisfaction (50%-69%),Public,University,Capital City(Kinshasa),No,Less than $500,Parents' finances,Yes,No,Yes,3.0,Mastery,Average,Medium,No,No,Before 10 pm,Medium,Yes,No,No,Yes,No,No,Nothing,No,No,Yes,No,Yes
between 25 and 27 years,Female,Single,Muluba,Town,Three,Two,No,Evangelical,Math-Physics,Satisfaction (50%-69%),Master,Networking,Satisfaction (50%-69%),Public,University,Capital City(Kinshasa),No,Less than $500,Parents' finances,Yes,No,No,2.0,Below average,Mastery,High,No,No,Between 10 pm and midnight,Medium,Yes,Yes,Yes,Yes,Yes,Yes,Nothing,No,No,Yes,Yes,Yes
beyond,Male,Single,Mukongo,Capital City(Kinshasa),Three,Two,No,Protestant,Industrial Technique,Satisfaction (50%-69%),Master,Information Systems Management,Distinction (70%-79%),Public,University,Capital City(Kinshasa),No,Less than $500,Family Finances,Yes,No,No,5.0,Average,Mastery,High,No,No,After midnight,Poor,No,No,No,No,No,No,Nothing,Yes,No,Yes,No,No
between 27 and 29 years,Male,Single,Mungala,Capital City(Kinshasa),Two,Two,No,Evangelical,Industrial Technique,Satisfaction (50%-69%),Master,Networking,Satisfaction (50%-69%),Private,University,Capital City(Kinshasa),No,Between $500 and $1000,Own funds,Yes,No,No,3.0,Mastery,Mastery,High,No,No,Between 10 pm and midnight,Medium,No,No,No,No,No,No,Nothing,Yes,No,Yes,No,No
between 21 and 23 years,Male,Single,Muswahili,Town,Two,Two,Yes,Catholic,Industrial Technique,Satisfaction (50%-69%),Bachelor,Mathematics and Computing,Satisfaction (50%-69%),Public,College,Town,Yes,Less than $500,Parents' finances,No,No,Yes,2.0,Average,Average,Medium,No,No,Between 10 pm and midnight,Medium,Yes,No,Yes,Yes,Yes,Yes,Nothing,Yes,Yes,Yes,No,No
between 23 and 25 years,Male,Single,Muswahili,Capital City(Kinshasa),Four,Two,Yes,Protestant,Math-Physics,Satisfaction (50%-69%),Master,Networking and Telecommunication,Satisfaction (50%-69%),Public,University,Capital City(Kinshasa),No,Less than $500,Parents' finances,No,No,No,5.0,Average,Mastery,High,No,No,Between 10 pm and midnight,Medium,Yes,No,Yes,Yes,Yes,No,Nothing,No,No,No,No,Yes
between 21 and 23 years,Female,Married,Muswahili,Town,Three,Two,Yes,Protestant,Commerce,Satisfaction (50%-69%),Bachelor,Business and IT,Distinction (70%-79%),Catholic,University,Town,Yes,Less than $500,Parents' finances,Yes,Yes,No,11.0,Below average,Average,Medium,No,No,Between 10 pm and midnight,Medium,Yes,No,No,Yes,Yes,Yes,Nothing,Yes,Yes,Yes,Yes,Yes
between 29 and 31 years,Male,Single,Muluba,Town,Three,One,No,Protestant,Industrial Technique,Satisfaction (50%-69%),Bachelor,Networking,Satisfaction (50%-69%),Private,University,Town,No,Less than $500,Parents' finances,Yes,Yes,Yes,1.0,Average,Average,High,No,No,Between 10 pm and midnight,Medium,Yes,Yes,No,Yes,Yes,No,Nothing,No,Yes,Yes,Yes,Yes
between 29 and 31 years,Male,Single,Muluba,Town,More,Three,No,Protestant,Math-Physics,Satisfaction (50%-69%),Master,Networking,Distinction (70%-79%),Private,University,Capital City(Kinshasa),No,Between $500 and $1000,Parents' finances,Yes,Yes,Yes,1.0,Average,Average,Medium,No,No,Between 10 pm and midnight,Medium,Yes,No,Yes,Yes,Yes,Yes,Nothing,No,No,No,No,Yes
between 29 and 31 years,Male,Single,Muluba,Capital City(Kinshasa),Four,Three,Yes,Protestant,Latin-Philosophy,Satisfaction (50%-69%),Master,Business and IT,Distinction (70%-79%),Private,College,Town,Yes,Less than $500,Parents' finances,Yes,No,No,5.0,Mastery,Mastery,Medium,No,No,Between 10 pm and midnight,Medium,Yes,Yes,No,No,Yes,Yes,Nothing,No,Yes,Yes,Yes,No
